Model,status,recall@10,recall@20,ndcg@10,ndcg@20,hit@10,precision@10,precision@20,coverage@10,coverage@20,novelty@10,novelty@20,mrr@10,mrr@20,hit@20
popular,complete,0.2532127179542141,0.2735725348778892,0.2169343364178451,0.2219600191653438,0.4030082368389638,0.0521666467709203,0.0285603437984958,0.001010611419909,0.0015159171298635,0.2260717189538247,0.2898608489488807,0.2764006131679523,0.2785452161755763,0.4334487286618121
itemcf,complete,0.2548982808020352,0.2857068576953419,0.2082536544161616,0.2170377266269842,0.3975170108630774,0.0504715291870598,0.029091560224424,0.3552636011453596,0.5888495873336702,0.3948472012500995,0.4756444036007155,0.2555836464544833,0.2584670379080225,0.4391787035931718
bprmf,complete,0.254438648776945,0.2825118310243877,0.208695681635882,0.2160922992165036,0.4063507222155903,0.052321833591978,0.0295929330309179,0.1056088933804952,0.2148896749199932,0.2845476898142926,0.3544692410800285,0.2600190241231186,0.2627669168262219,0.4462217977796347
lightgcn,complete,0.2647921300215698,0.2976578422592312,0.2177595426449839,0.2265876440865888,0.4209144084994628,0.0546854482511639,0.0314193625402888,0.0595250126326427,0.1470776486440963,0.3148772776809928,0.3979247216561735,0.2715373348416203,0.274597057317925,0.4644860928733437
lightgcn_si,complete,0.2667236011918586,0.2969511855036573,0.2230716388671043,0.2309654427197346,0.4252118896979825,0.0553061955353945,0.0313537065775337,0.029610914603335,0.0744820616472966,0.2915544298521385,0.3812803487159677,0.2812322004126946,0.2841350608248702,0.4673510803390235
lightgcn_multi,complete,0.2684330248990365,0.2975307687831173,0.2238147004739568,0.2315342554108235,0.4266443834308225,0.0554494449086785,0.0314671123313835,0.0357756442647801,0.0918982651170624,0.2965071834804363,0.3870462034491319,0.2808360382074121,0.2835912910545566,0.4667542079503402
ngcf,complete,0.2638756019858409,0.2958756440422046,0.2100959902738957,0.2189009573046273,0.4157813059567864,0.0530022681150769,0.0306673033305479,0.1194542698332491,0.2639380158329122,0.3302962582791863,0.4168911739940132,0.2547119285420586,0.2577690776736261,0.4593529903306673
lightgcn_bert,complete,0.2674473717422288,0.298614520964543,0.2231683272341542,0.2315599014475961,0.4256893876089292,0.0551510087143368,0.0314969559508177,0.0635674583122789,0.1571163887485261,0.2946630866093241,0.3864350850999504,0.2802451345426157,0.2831396197701495,0.4668735824280768
lightgcn_hetero,complete,0.26488703065321,0.2971370451751898,0.217727411968429,0.2265358728392636,0.4215112808881461,0.0545302614301062,0.0314074250925152,0.0368873168266801,0.0949974734714502,0.302098132947955,0.3828695064073703,0.272765470837573,0.27576928148275,0.4642473439178703
lightgcn_timedecay,complete,0.2683434956630509,0.2966870254396777,0.2231604260764574,0.230673925126238,0.4266443834308225,0.0555210695953205,0.0314790497791572,0.0276907529055078,0.0684520801751726,0.2899550755695353,0.3782524307246309,0.2799048699102417,0.2826700121997794,0.4660379610839202
sasrec,complete,0.1050792224989311,0.1720885237477563,0.0419830529789178,0.0612577267195234,0.17512235883968,0.0210695953205204,0.0172376745851736,0.4885969344786929,0.662118915277076,0.4031392575342017,0.4908372806772719,0.0304001792511999,0.0374789391707998,0.276232541482631
simgcl,complete,0.2643893889529781,0.2968876826167768,0.2164830246052975,0.2253360207117906,0.4200787871553062,0.0541602005491225,0.0312283633759102,0.0338891696142833,0.086373589354893,0.3099160099856335,0.3906531351957,0.2689347343728386,0.2719488608070596,0.4629342246627671
lightgcn_opt,complete,0.2687918333168206,0.302441794983933,0.2211814964827949,0.2305885200229601,0.4267637579085591,0.0547093231467112,0.0317953921451593,0.1786424119925888,0.3547246083880748,0.3510795971815606,0.4427827716297077,0.2756687813002723,0.2786735881516629,0.4705741912379133
lightgcn_multi_opt,complete,0.2706895364523736,0.3014995949517364,0.2231885391355887,0.2315405723287629,0.4307031156738689,0.0556285066252835,0.0318550793840277,0.2651507495368031,0.4608724945258548,0.3994363705248398,0.4991198978073858,0.2786817078508614,0.2814994670737221,0.4716485615375432
lightgcn_tgn,complete,0.267158268531066,0.298696170705892,0.2196950370348334,0.2281156292342886,0.4262862599976125,0.0553539453264892,0.0316103617046675,0.0162371568132053,0.0467576216944584,0.2936139425621463,0.3745572180986063,0.2739281403540685,0.276847101339173,0.4680673272054435
lightgcn_cover,complete,0.2601877433634005,0.2914555782717081,0.2153333098203046,0.2238092128864852,0.4149456846126298,0.0532887668616449,0.0305718037483586,0.0167424625231598,0.0411992588849587,0.3033944747805723,0.3776922603435187,0.2697542970074902,0.2726019400763724,0.4554136325653575
